1	A Coruña (La Coruña)	87	2006-02-15T04:45:25Z
2	Abha	82	2006-02-15T04:45:25Z
3	Abu Dhabi	101	2006-02-15T04:45:25Z
4	Acuña	60	2006-02-15T04:45:25Z
5	Adana	97	2006-02-15T04:45:25Z
6	Addis Abeba	31	2006-02-15T04:45:25Z
7	Aden	107	2006-02-15T04:45:25Z
8	Adoni	44	2006-02-15T04:45:25Z
9	Ahmadnagar	44	2006-02-15T04:45:25Z
10	Akishima	50	2006-02-15T04:45:25Z
11	Akron	103	2006-02-15T04:45:25Z
12	al-Ayn	101	2006-02-15T04:45:25Z
13	al-Hawiya	82	2006-02-15T04:45:25Z
14	al-Manama	11	2006-02-15T04:45:25Z
15	al-Qadarif	89	2006-02-15T04:45:25Z
16	al-Qatif	82	2006-02-15T04:45:25Z
17	Alessandria	49	2006-02-15T04:45:25Z
18	Allappuzha (Alleppey)	44	2006-02-15T04:45:25Z
19	Allende	60	2006-02-15T04:45:25Z
20	Almirante Brown	6	2006-02-15T04:45:25Z
21	Alvorada	15	2006-02-15T04:45:25Z
22	Ambattur	44	2006-02-15T04:45:25Z
23	Amersfoort	67	2006-02-15T04:45:25Z
24	Amroha	44	2006-02-15T04:45:25Z
25	Angra dos Reis	15	2006-02-15T04:45:25Z
26	Anápolis	15	2006-02-15T04:45:25Z
27	Antofagasta	22	2006-02-15T04:45:25Z
28	Aparecida de Goiânia	15	2006-02-15T04:45:25Z
29	Apeldoorn	67	2006-02-15T04:45:25Z
30	Araçatuba	15	2006-02-15T04:45:25Z
31	Arak	46	2006-02-15T04:45:25Z
32	Arecibo	77	2006-02-15T04:45:25Z
33	Arlington	103	2006-02-15T04:45:25Z
34	Ashdod	48	2006-02-15T04:45:25Z
35	Ashgabat	98	2006-02-15T04:45:25Z
36	Ashqelon	48	2006-02-15T04:45:25Z
37	Asunción	73	2006-02-15T04:45:25Z
38	Athenai	39	2006-02-15T04:45:25Z
39	Atšinsk	80	2006-02-15T04:45:25Z
40	Atlixco	60	2006-02-15T04:45:25Z
41	Augusta-Richmond County	103	2006-02-15T04:45:25Z
42	Aurora	103	2006-02-15T04:45:25Z
43	Avellaneda	6	2006-02-15T04:45:25Z
44	Bagé	15	2006-02-15T04:45:25Z
45	Bahía Blanca	6	2006-02-15T04:45:25Z
46	Baicheng	23	2006-02-15T04:45:25Z
47	Baiyin	23	2006-02-15T04:45:25Z
48	Baku	10	2006-02-15T04:45:25Z
49	Balašiha	80	2006-02-15T04:45:25Z
50	Balikesir	97	2006-02-15T04:45:25Z
51	Balurghat	44	2006-02-15T04:45:25Z
52	Bamenda	19	2006-02-15T04:45:25Z
53	Bandar Seri Begawan	16	2006-02-15T04:45:25Z
54	Banjul	37	2006-02-15T04:45:25Z
55	Barcelona	104	2006-02-15T04:45:25Z
56	Basel	91	2006-02-15T04:45:25Z
57	Bat Yam	48	2006-02-15T04:45:25Z
58	Batman	97	2006-02-15T04:45:25Z
59	Batna	2	2006-02-15T04:45:25Z
60	Battambang	18	2006-02-15T04:45:25Z
61	Baybay	75	2006-02-15T04:45:25Z
62	Bayugan	75	2006-02-15T04:45:25Z
63	Béchar	2	2006-02-15T04:45:25Z
64	Beira	63	2006-02-15T04:45:25Z
65	Bellevue	103	2006-02-15T04:45:25Z
66	Belém	15	2006-02-15T04:45:25Z
67	Benguela	4	2006-02-15T04:45:25Z
68	Beni-Mellal	62	2006-02-15T04:45:25Z
69	Benin City	69	2006-02-15T04:45:25Z
70	Bergamo	49	2006-02-15T04:45:25Z
71	Berhampore (Baharampur)	44	2006-02-15T04:45:25Z
72	Bern	91	2006-02-15T04:45:25Z
73	Bhavnagar	44	2006-02-15T04:45:25Z
74	Bhilwara	44	2006-02-15T04:45:25Z
75	Bhimavaram	44	2006-02-15T04:45:25Z
76	Bhopal	44	2006-02-15T04:45:25Z
77	Bhusawal	44	2006-02-15T04:45:25Z
78	Bijapur	44	2006-02-15T04:45:25Z
79	Bilbays	29	2006-02-15T04:45:25Z
80	Binzhou	23	2006-02-15T04:45:25Z
81	Birgunj	66	2006-02-15T04:45:25Z
82	Bislig	75	2006-02-15T04:45:25Z
83	Blumenau	15	2006-02-15T04:45:25Z
84	Boa Vista	15	2006-02-15T04:45:25Z
85	Boksburg	85	2006-02-15T04:45:25Z
86	Botosani	78	2006-02-15T04:45:25Z
87	Botshabelo	85	2006-02-15T04:45:25Z
88	Bradford	102	2006-02-15T04:45:25Z
89	Brasília	15	2006-02-15T04:45:25Z
90	Bratislava	84	2006-02-15T04:45:25Z
91	Brescia	49	2006-02-15T04:45:25Z
92	Brest	34	2006-02-15T04:45:25Z
93	Brindisi	49	2006-02-15T04:45:25Z
94	Brockton	103	2006-02-15T04:45:25Z
95	Bucuresti	78	2006-02-15T04:45:25Z
96	Buenaventura	24	2006-02-15T04:45:25Z
97	Bydgoszcz	76	2006-02-15T04:45:25Z
98	Cabuyao	75	2006-02-15T04:45:25Z
99	Callao	74	2006-02-15T04:45:25Z
100	Cam Ranh	105	2006-02-15T04:45:25Z
101	Cape Coral	103	2006-02-15T04:45:25Z
102	Caracas	104	2006-02-15T04:45:25Z
103	Carmen	60	2006-02-15T04:45:25Z
104	Cavite	75	2006-02-15T04:45:25Z
105	Cayenne	35	2006-02-15T04:45:25Z
106	Celaya	60	2006-02-15T04:45:25Z
107	Chandrapur	44	2006-02-15T04:45:25Z
108	Changhwa	92	2006-02-15T04:45:25Z
109	Changzhou	23	2006-02-15T04:45:25Z
110	Chapra	44	2006-02-15T04:45:25Z
111	Charlotte Amalie	106	2006-02-15T04:45:25Z
112	Chatsworth	85	2006-02-15T04:45:25Z
113	Cheju	86	2006-02-15T04:45:25Z
114	Chiayi	92	2006-02-15T04:45:25Z
115	Chisinau	61	2006-02-15T04:45:25Z
116	Chungho	92	2006-02-15T04:45:25Z
117	Cianjur	45	2006-02-15T04:45:25Z
118	Ciomas	45	2006-02-15T04:45:25Z
119	Ciparay	45	2006-02-15T04:45:25Z
