1	1	1	76	2.99	2005-05-25T11:30:37Z	2020-02-15T06:59:47Z
2	1	1	573	0.99	2005-05-28T10:35:23Z	2020-02-15T06:59:47Z
3	1	1	1185	5.99	2005-06-15T00:54:12Z	2020-02-15T06:59:47Z
4	1	2	1422	0.99	2005-06-15T18:02:53Z	2020-02-15T06:59:47Z
5	1	2	1476	9.99	2005-06-15T21:08:46Z	2020-02-15T06:59:47Z
6	1	1	1725	4.99	2005-06-16T15:18:57Z	2020-02-15T06:59:47Z
7	1	1	2308	4.99	2005-06-18T08:41:48Z	2020-02-15T06:59:47Z
8	1	2	2363	0.99	2005-06-18T13:33:59Z	2020-02-15T06:59:47Z
9	1	1	3284	3.99	2005-06-21T06:24:45Z	2020-02-15T06:59:47Z
10	1	2	4526	5.99	2005-07-08T03:17:05Z	2020-02-15T06:59:47Z
11	1	1	4611	5.99	2005-07-08T07:33:56Z	2020-02-15T06:59:47Z
12	1	1	5244	4.99	2005-07-09T13:24:07Z	2020-02-15T06:59:47Z
13	1	1	5326	4.99	2005-07-09T16:38:01Z	2020-02-15T06:59:47Z
14	1	1	6163	7.99	2005-07-11T10:13:46Z	2020-02-15T06:59:47Z
15	1	2	7273	2.99	2005-07-27T11:31:22Z	2020-02-15T06:59:47Z
16	1	1	7841	4.99	2005-07-28T09:04:45Z	2020-02-15T06:59:47Z
17	1	2	8033	4.99	2005-07-28T16:18:23Z	2020-02-15T06:59:47Z
18	1	1	8074	0.99	2005-07-28T17:33:39Z	2020-02-15T06:59:47Z
19	1	2	8116	0.99	2005-07-28T19:20:07Z	2020-02-15T06:59:47Z
20	1	2	8326	2.99	2005-07-29T03:58:49Z	2020-02-15T06:59:47Z
21	1	2	9571	2.99	2005-07-31T02:42:18Z	2020-02-15T06:59:47Z
22	1	2	10437	4.99	2005-08-01T08:51:04Z	2020-02-15T06:59:47Z
23	1	2	11299	3.99	2005-08-02T15:36:52Z	2020-02-15T06:59:47Z
24	1	1	11367	0.99	2005-08-02T18:01:38Z	2020-02-15T06:59:47Z
25	1	2	11824	4.99	2005-08-17T12:37:54Z	2020-02-15T06:59:47Z
26	1	1	12250	0.99	2005-08-18T03:57:29Z	2020-02-15T06:59:47Z
27	1	2	13068	0.99	2005-08-19T09:55:16Z	2020-02-15T06:59:47Z
28	1	2	13176	2.99	2005-08-19T13:56:54Z	2020-02-15T06:59:47Z
29	1	1	14762	0.99	2005-08-21T23:33:57Z	2020-02-15T06:59:47Z
30	1	1	14825	1.99	2005-08-22T01:27:57Z	2020-02-15T06:59:47Z
31	1	2	15298	2.99	2005-08-22T19:41:37Z	2020-02-15T06:59:47Z
32	1	1	15315	5.99	2005-08-22T20:03:46Z	2020-02-15T06:59:47Z
33	2	1	320	4.99	2005-05-27T00:09:24Z	2020-02-15T06:59:47Z
34	2	1	2128	2.99	2005-06-17T20:54:58Z	2020-02-15T06:59:47Z
35	2	1	5636	2.99	2005-07-10T06:31:24Z	2020-02-15T06:59:47Z
36	2	1	5755	6.99	2005-07-10T12:38:56Z	2020-02-15T06:59:47Z
37	2	2	7346	4.99	2005-07-27T14:30:42Z	2020-02-15T06:59:47Z
38	2	1	7376	5.99	2005-07-27T15:23:02Z	2020-02-15T06:59:47Z
