1,A Corua (La Corua),87,2020-02-15T06:59:28Z
2,Abha,82,2020-02-15T06:59:28Z
3,Abu Dhabi,101,2020-02-15T06:59:28Z
4,Acua,60,2020-02-15T06:59:28Z
5,Adana,97,2020-02-15T06:59:28Z
6,Addis Abeba,31,2020-02-15T06:59:28Z
7,Aden,107,2020-02-15T06:59:28Z
8,Adoni,44,2020-02-15T06:59:28Z
9,Ahmadnagar,44,2020-02-15T06:59:28Z
10,Akishima,50,2020-02-15T06:59:28Z
11,Akron,103,2020-02-15T06:59:28Z
12,al-Ayn,101,2020-02-15T06:59:28Z
13,al-Hawiya,82,2020-02-15T06:59:28Z
14,al-Manama,11,2020-02-15T06:59:28Z
15,al-Qadarif,89,2020-02-15T06:59:28Z
16,al-Qatif,82,2020-02-15T06:59:28Z
17,Alessandria,49,2020-02-15T06:59:28Z
18,Allappuzha (Alleppey),44,2020-02-15T06:59:28Z
19,Allende,60,2020-02-15T06:59:28Z
20,Almirante Brown,6,2020-02-15T06:59:28Z
21,Alvorada,15,2020-02-15T06:59:28Z
22,Ambattur,44,2020-02-15T06:59:28Z
23,Amersfoort,67,2020-02-15T06:59:28Z
24,Amroha,44,2020-02-15T06:59:28Z
25,Angra dos Reis,15,2020-02-15T06:59:28Z
26,Anpolis,15,2020-02-15T06:59:28Z
27,Antofagasta,22,2020-02-15T06:59:28Z
28,Aparecida de Goinia,15,2020-02-15T06:59:28Z
29,Apeldoorn,67,2020-02-15T06:59:28Z
30,Araatuba,15,2020-02-15T06:59:28Z
31,Arak,46,2020-02-15T06:59:28Z
32,Arecibo,77,2020-02-15T06:59:28Z
33,Arlington,103,2020-02-15T06:59:28Z
34,Ashdod,48,2020-02-15T06:59:28Z
35,Ashgabat,98,2020-02-15T06:59:28Z
36,Ashqelon,48,2020-02-15T06:59:28Z
37,Asuncin,73,2020-02-15T06:59:28Z
38,Athenai,39,2020-02-15T06:59:28Z
39,Atinsk,80,2020-02-15T06:59:28Z
40,Atlixco,60,2020-02-15T06:59:28Z
41,Augusta-Richmond County,103,2020-02-15T06:59:28Z
42,Aurora,103,2020-02-15T06:59:28Z
43,Avellaneda,6,2020-02-15T06:59:28Z
44,Bag,15,2020-02-15T06:59:28Z
45,Baha Blanca,6,2020-02-15T06:59:28Z
46,Baicheng,23,2020-02-15T06:59:28Z
47,Baiyin,23,2020-02-15T06:59:28Z
48,Baku,10,2020-02-15T06:59:28Z
49,Balaiha,80,2020-02-15T06:59:28Z
50,Balikesir,97,2020-02-15T06:59:28Z
51,Balurghat,44,2020-02-15T06:59:28Z
52,Bamenda,19,2020-02-15T06:59:28Z
